organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
american college of toxicology,NA,NA,NA,,NA,ndse,2004,1243.25
american college of toxicology,NA,NA,NA,,NA,pkdm,2008,1500
american college of toxicology,NA,NA,NA,,NA,pkdm,2009,1500
american college of toxicology,NA,NA,NA,,NA,pkdm,2011,1500
american college of toxicology,NA,NA,NA,,NA,pkdm,2013,1500
american college of toxicology,NA,NA,NA,,NA,ppmd pharma tech,2008,1500
american college of toxicology,NA,NA,NA,,NA,pur pharma fund,2002,1500
american college of toxicology,NA,NA,NA,,NA,pur pharma fund,2003,1500
american college of toxicology,NA,NA,NA,,NA,pur pharma fund,2004,1000
american college of toxicology,NA,NA,NA,,NA,pur pharma fund,2005,2200
american diabetes association,diabetes association,none,other,,diabetes,pur pharma fund,2003,5200
american diabetes association,diabetes association,none,other,,diabetes,st. gov leg  aff,2009,1000
american drug utilization review society,drug utilization review society,none,other,,other,managedcare ff,2004,20000
american drug utilization review society,drug utilization review society,none,other,,other,market strategies,2002,20000
american drug utilization review society,drug utilization review society,none,other,,other,medical ed,2004,20000
american drug utilization review society,drug utilization review society,none,other,,other,medical ed,2008,20000
american drug utilization review society,drug utilization review society,none,other,,other,medical ed,2009,40000
american drug utilization review society,drug utilization review society,none,other,,other,medical ed,2010,20000
american drug utilization review society,drug utilization review society,none,other,,other,other,2005,20000
american drug utilization review society,drug utilization review society,none,other,,other,sales force,2007,20000
american geriatrics society,geriatrics society,none,other,,geriatrics,conventions,2002,21700
american geriatrics society,geriatrics society,none,other,,geriatrics,conventions,2004,1950
american geriatrics society,geriatrics society,none,other,,geriatrics,medical ed,2002,47050
american geriatrics society,geriatrics society,none,other,,geriatrics,medical ed,2009,44850
american geriatrics society,geriatrics society,none,other,,geriatrics,medical ed,2011,40987.5
american geriatrics society,geriatrics society,none,other,,geriatrics,st. gov leg  aff,2007,6000
american geriatrics society,geriatrics society,none,other,,geriatrics,st. gov leg  aff,2012,11750
american headache society,headache society,none,other,,headache,analgesic,2003,150
american heart assoc,heart assoc,none,other,,heart,ehs corp,2006,750
american heart assoc,heart assoc,none,other,,heart,executive admin,2012,2500
american heart assoc,heart assoc,none,other,,heart,human resources,2012,100
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2002,475
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2003,2500
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2006,2000
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2009,2500
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2011,7000
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2012,5000
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2013,5000
american heart assoc,heart assoc,none,other,,heart,pur pharma fund,2014,10000
american heart assoc,heart assoc,none,other,,heart,st. gov leg  aff,2009,1000
american hospice foundation dc,hospice foundation,district of columbia,other,,hospice,medical ed,2011,75000
american hospice foundation dc,hospice foundation,district of columbia,other,,hospice,medical ed,2013,50000
american legislative exchange counc,legislative exchange counc,none,legislative,,other,general counsel,2005,200
american legislative exchange counc,legislative exchange counc,none,legislative,,other,government aff,2002,500
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2006,10000
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2007,8000
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2009,20000
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2010,10700
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2011,375
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2012,20000
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2013,10000
american legislative exchange counc,legislative exchange counc,none,legislative,,other,st. gov leg  aff,2014,17500
american lung assoc,lung association,none,other,,lung,stmfd bldg serv,2004,900
american lung assoc of de,lung association,delaware,other,,lung,conventions,2003,350
american lung association,lung association,none,other,,lung,emply benefits,2011,120
american lung association of illinois iowa,lung association,iowa,other,,lung,conventions,2003,325
american lung association of illinois iowa,lung association,iowa,other,,lung,conventions,2004,350
american lung association of maine maine thoracic society,lung association,maine,other,,lung,conventions,2003,530
american lung association of massachusettes inc,lung association,none,other,,lung,conventions,2003,1000
american lung association of the northern rockies,lung association,none,other,,lung,conventions,2003,450
american lung association of the northern rockies,lung association,none,other,,lung,conventions,2004,450
american lung association of the northern rockies,lung association,none,other,,lung,medical ed,2004,2000
american medical directors association,NA,NA,NA,,NA,conventions,2002,9000
american medical directors association,NA,NA,NA,,NA,conventions,2003,1000
american medical directors association,NA,NA,NA,,NA,medical ed,2002,7000
american medical association,medical association,none,other,,other,clinical rsch 1,2002,84
american medical association,medical association,none,other,,other,library infoserv,2002,820.39
american medical association,medical association,none,other,,other,library infoserv,2007,4120
american medical association,medical association,none,other,,other,library infoserv,2008,4325
american medical association,medical association,none,other,,other,library infoserv,2009,4585
american medical association,medical association,none,other,,other,library infoserv,2010,6550
american medical association,medical association,none,other,,other,library infoserv,2011,12962
american medical association,medical association,none,other,,other,library infoserv,2012,13867
american medical association,medical association,none,other,,other,library infoserv,2013,16982
american medical association,medical association,none,other,,other,library infoserv,2014,14997
american medical association,medical association,none,other,,other,medical ed,2005,172000
american medical association,medical association,none,other,,other,medical ed,2007,211942
american medical association,medical association,none,other,,other,medical ed,2012,30000
american medical association,medical association,none,other,,other,par against,2003,20041
american medical association,medical association,none,other,,other,par against,2005,9454
american medical association,medical association,none,other,,other,patient & professional relations,2015,50000
american medical association,medical association,none,other,,other,prof relations,2004,243190
american medical association,medical association,none,other,,other,promotions rx,2002,1009015.4
american medical association,medical association,none,other,,other,promotions rx,2003,378657.01
american medical association,medical association,none,other,,other,pur pharma fund,2002,53834.37
american medical association,medical association,none,other,,other,pur pharma fund,2003,50000
american medical association,medical association,none,other,,other,pur pharma fund,2004,50000
american medical association,medical association,none,other,,other,pur pharma fund,2005,52000
american medical association,medical association,none,other,,other,pur pharma fund,2011,100000
american medical association,medical association,none,other,,other,st. gov leg  aff,2006,50000
american medical association,medical association,none,other,,other,st. gov leg  aff,2007,30000
american medical association,medical association,none,other,,other,st. gov leg  aff,2008,35000
american medical association,medical association,none,other,,other,st. gov leg  aff,2010,10000
american medical association,medical association,none,other,,other,st. gov leg  aff,2011,10000
american medical association,medical association,none,other,,other,st. gov leg  aff,2012,300000
american medical association,medical association,none,other,,other,st. gov leg  aff,2013,310000
american medical association,medical association,none,other,,other,st. gov leg  aff,2014,160000
american medical directors association,NA,NA,NA,,NA,conventions,2002,300
american medical directors association,NA,NA,NA,,NA,market strategies,2002,31758
american medical directors association,NA,NA,NA,,NA,medical ed,2002,13000
american medical directors assoc foundation,medical directors association,none,medical,medical director,other,professional rels,2004,25000
american medical directors association,medical directors association,none,medical,medical director,other,conventions,2003,22150
american medical directors association,medical directors association,none,medical,medical director,other,conventions,2004,7200
american medical directors association,medical directors association,none,medical,medical director,other,conventions,2008,4500
american medical directors association,medical directors association,none,medical,medical director,other,conventions,2011,36822.5
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2003,2448
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2004,3140
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2005,4500
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2008,30000
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2009,30000
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2010,55000
american medical directors association,medical directors association,none,medical,medical director,other,medical ed,2012,7300
american medical directors association,medical directors association,none,medical,medical director,other,other,2002,15000
american medical directors association,medical directors association,none,medical,medical director,other,other,2003,15000
american medical directors association,medical directors association,none,medical,medical director,other,patient & professional relations,2015,15000
american medical directors association,medical directors association,none,medical,medical director,other,promotions rx,2003,35000
american medical directors association,medical directors association,none,medical,medical director,other,st. gov leg  aff,2008,26213.8
american medical directors association,medical directors association,none,medical,medical director,other,st. gov leg  aff,2010,15000
american medical directors association,medical directors association,none,medical,medical director,other,st. gov leg  aff,2012,15000
american medical directors association,medical directors association,none,medical,medical director,other,st. gov leg  aff,2013,15000
american medical directors association,medical directors association,none,medical,medical director,other,st. gov leg  aff,2014,15000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,other,,osteopathic,medical ed,2004,5000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,other,,osteopathic,medical ed,2005,5000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,other,,osteopathic,medical ed,2008,6000
american osteopathic academy of addiction medicine,osteopathic academy of addiction medicine,none,other,,osteopathic,medical ed,2009,2500
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2002,14700
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2003,51600
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2004,18450
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2006,38100
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2009,43200
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2011,82600
american osteopathic assn,osteopathic association,none,other,,osteopathic,conventions,2012,110000
american osteopathic assn,osteopathic association,none,other,,osteopathic,market strategies,2003,2500
american osteopathic assn,osteopathic association,none,other,,osteopathic,marketing,2004,20000
american osteopathic assn,osteopathic association,none,other,,osteopathic,medical ed,2003,5850
american osteopathic assn,osteopathic association,none,other,,osteopathic,medical ed,2005,13200
american osteopathic assn,osteopathic association,none,other,,osteopathic,medical ed,2007,227000
american osteopathic assn,osteopathic association,none,other,,osteopathic,medical ed,2012,100000
american osteopathic assn,osteopathic association,none,other,,osteopathic,new prod-budget,2011,41100
american osteopathic assn,osteopathic association,none,other,,osteopathic,prof relations,2003,1000
american osteopathic assn,osteopathic association,none,other,,osteopathic,professional rels,2004,253000
american osteopathic assn,osteopathic association,none,other,,osteopathic,pur pharma fund,2010,175000
american osteopathic assn,osteopathic association,none,other,,osteopathic,pur pharma fund,2011,278250
american osteopathic assn,osteopathic association,none,other,,osteopathic,pur pharma fund,2013,230500
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2006,34000
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2007,50600
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2008,32250
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2009,14600
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2010,94600
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2011,14600
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2012,54600
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2013,55150
american osteopathic assn,osteopathic association,none,other,,osteopathic,st. gov leg  aff,2014,100000
american osteopathic college of anesthesiologists,osteopathic college of anesthesiologists,none,other,,anesthesia,dom oth inc_exp,2007,750
american osteopathic college of anesthesiologists,osteopathic college of anesthesiologists,none,other,,anesthesia,medical ed,2003,750
american college of osteopathic family physicians,NA,NA,NA,,NA,medical ed,2002,50000
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2012,2000
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2013,850
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,other,,physical/rehab,conventions,2014,2000
american osteopathic college of physical medicine & rehabilitation,osteopathic college of physical medicine & rehabilitation,none,other,,physical/rehab,medical ed,2006,1000
american osteopathic information association,osteopathic information association,none,other,,osteopathic,marketing,2006,75000
american osteopathic information association,osteopathic information association,none,other,,osteopathic,par against,2004,74000
american pain foundation,pain foundation,none,other,,pain,hecon,2003,500
american pain foundation,pain foundation,none,other,,pain,par against,2002,15000
american pain foundation,pain foundation,none,other,,pain,par against,2003,186495.15
american pain foundation,pain foundation,none,other,,pain,par against,2009,25000
american pain foundation,pain foundation,none,other,,pain,public affairs,2004,87
american pain foundation,pain foundation,none,other,,pain,public affairs,2009,15000
american pain foundation,pain foundation,none,other,,pain,public affairs,2010,10000
american pain foundation,pain foundation,none,other,,pain,public affairs,2011,3711.54
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2003,268000
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2004,250000
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2005,200210
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2006,65000
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2007,76150
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2008,240000
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2009,190000
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2010,210000
american pain foundation,pain foundation,none,other,,pain,pur pharma fund,2011,215250
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2003,5000
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2005,51000
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2006,112037
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2007,155000
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2008,135000
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2009,45000
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2010,226500
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2011,150000
american pain foundation,pain foundation,none,other,,pain,st. gov leg  aff,2012,25000
american pain society,pain society,none,other,,pain,analgesic,2003,670
american pain society,pain society,none,other,,pain,analgesic,2005,300
american pain society,pain society,none,other,,pain,clin data op tec,2002,380
american pain society,pain society,none,other,,pain,clin pln cmgmt,2002,275
american pain society,pain society,none,other,,pain,clinical pharm,2002,50
american pain society,pain society,none,other,,pain,clinical rsch,2002,2550
american pain society,pain society,none,other,,pain,clinical rsch 3,2012,25000
american pain society,pain society,none,other,,pain,conventions,2002,9000
american pain society,pain society,none,other,,pain,conventions,2003,27000
american pain society,pain society,none,other,,pain,conventions,2004,39600
american pain society,pain society,none,other,,pain,conventions,2006,12900
american pain society,pain society,none,other,,pain,conventions,2007,28500
american pain society,pain society,none,other,,pain,conventions,2008,30000
american pain society,pain society,none,other,,pain,conventions,2009,66500
american pain society,pain society,none,other,,pain,conventions,2010,21000
american pain society,pain society,none,other,,pain,conventions,2011,57500
american pain society,pain society,none,other,,pain,conventions,2012,30000
american pain society,pain society,none,other,,pain,conventions,2013,10000
american pain society,pain society,none,other,,pain,conventions,2014,5000
american pain society,pain society,none,other,,pain,conventions,2015,15000
american pain society,pain society,none,other,,pain,hecon,2002,150
american pain society,pain society,none,other,,pain,market strategies,2002,400
american pain society,pain society,none,other,,pain,marketing,2004,5000
american pain society,pain society,none,other,,pain,marketing,2005,42000
american pain society,pain society,none,other,,pain,medical ed,2002,65000
american pain society,pain society,none,other,,pain,medical ed,2004,90000
american pain society,pain society,none,other,,pain,medical ed,2005,14000
american pain society,pain society,none,other,,pain,medical ed,2006,2000
american pain society,pain society,none,other,,pain,medical ed,2007,2000
american pain society,pain society,none,other,,pain,medical ed,2008,2000
american pain society,pain society,none,other,,pain,medical ed,2009,6515
american pain society,pain society,none,other,,pain,medical ed,2010,40000
american pain society,pain society,none,other,,pain,medical ed,2011,33465
american pain society,pain society,none,other,,pain,medical ed,2012,15000
american pain society,pain society,none,other,,pain,medical ed,2013,23480
american pain society,pain society,none,other,,pain,medical ed,2014,25000
american pain society,pain society,none,other,,pain,medical servs,2002,1611.45
american pain society,pain society,none,other,,pain,mkt intrnt strt,2003,44520
american pain society,pain society,none,other,,pain,neurarm,2002,190
american pain society,pain society,none,other,,pain,other,2002,69000
american pain society,pain society,none,other,,pain,other,2004,40000
american pain society,pain society,none,other,,pain,par against,2003,380967.3
american pain society,pain society,none,other,,pain,par against,2004,95002.5
american pain society,pain society,none,other,,pain,par against,2005,92750
american pain society,pain society,none,other,,pain,par against,2006,40767.5
american pain society,pain society,none,other,,pain,par against,2008,10550
american pain society,pain society,none,other,,pain,professional rels,2003,5000
american pain society,pain society,none,other,,pain,professional rels,2004,42000
american pain society,pain society,none,other,,pain,professional rels,2005,5000
american pain society,pain society,none,other,,pain,promotions rx,2002,236923.7
american pain society,pain society,none,other,,pain,promotions rx,2003,150000
american pain society,pain society,none,other,,pain,public affairs,2003,695
american pain society,pain society,none,other,,pain,st. gov leg  aff,2006,47190
american pain society,pain society,none,other,,pain,st. gov leg  aff,2007,50190
american pain society,pain society,none,other,,pain,st. gov leg  aff,2008,78880
american pain society,pain society,none,other,,pain,st. gov leg  aff,2009,70000
american pain society,pain society,none,other,,pain,st. gov leg  aff,2010,70000
american pain society,pain society,none,other,,pain,st. gov leg  aff,2011,55000
american pain society,pain society,none,other,,pain,st. gov leg  aff,2012,53465
american pain society,pain society,none,other,,pain,st. gov leg  aff,2013,60000
american pain society,pain society,none,other,,pain,st. gov leg  aff,2014,60000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,other,conventions,2004,28800
american pharmacists assn found,pharmacists association,none,medical,pharmacist,other,medical ed,2003,10000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,other,medical ed,2006,20000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,other,medical ed,2010,12000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,other,medical ed,2011,26000
american pharmacists assn found,pharmacists association,none,medical,pharmacist,other,prof relations,2004,800000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,conventions,2002,56800
american pharmacists association,pharmacists association,none,medical,pharmacist,other,conventions,2003,28800
american pharmacists association,pharmacists association,none,medical,pharmacist,other,conventions,2010,29400
american pharmacists association,pharmacists association,none,medical,pharmacist,other,conventions,2015,34300
american pharmacists association,pharmacists association,none,medical,pharmacist,other,executive admin,2003,205
american pharmacists association,pharmacists association,none,medical,pharmacist,other,market strategies,2003,750439.65
american pharmacists association,pharmacists association,none,medical,pharmacist,other,market strategies,2006,42000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2002,63000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2003,59500
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2005,414800
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2007,35300
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2008,100000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2009,47500
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2011,20000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2013,11250
american pharmacists association,pharmacists association,none,medical,pharmacist,other,medical ed,2014,50000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,merchandise otc,2007,12500
american pharmacists association,pharmacists association,none,medical,pharmacist,other,mkt intrnt strt,2002,20000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,nonclinical admn,2002,195
american pharmacists association,pharmacists association,none,medical,pharmacist,other,nonclinical admn,2003,205
american pharmacists association,pharmacists association,none,medical,pharmacist,other,pharm tech,2002,195
american pharmacists association,pharmacists association,none,medical,pharmacist,other,pharm tech,2003,850
american pharmacists association,pharmacists association,none,medical,pharmacist,other,pharmaceutics,2002,2550
american pharmacists association,pharmacists association,none,medical,pharmacist,other,professional rels,2005,600000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,promotions rx,2002,752245
american pharmacists association,pharmacists association,none,medical,pharmacist,other,pur pharma fund,2009,5000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2006,151000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2007,104722
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2008,38028
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2009,42800
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2010,16000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2011,85000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2012,70000
american pharmacists association,pharmacists association,none,medical,pharmacist,other,st. gov leg  aff,2013,30000
american psychiatric association,psychiatric association,none,other,,phyciatric,clinical rsch,2002,3485
american psychiatric association,psychiatric association,none,other,,phyciatric,promotions rx,2002,600
american psychiatric association,psychiatric association,none,other,,phyciatric,promotions rx,2013,2222.64
american psychiatric foundation,psychiatric foundation,none,other,,phyciatric,prof relations,2003,1000
american public health association,public health association,none,other,,other,market strategies,2003,2150
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,analgesic,2002,694.4
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,analgesic,2003,25970
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,analgesic,2004,350
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,analgesic,2005,120
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,medical ed,2002,30000
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,medical ed,2003,15000
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,medical ed,2004,11000
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,medical ed,2005,20000
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,medical ed,2006,2500
american soc of addiction medicine,soc of addiction medicine,none,other,,addiction,pur pharma fund,2004,5000
american soc of pain mgmt nurses delaware valley & eastern pa ch,soc of pain mgmt nurses valley & eastern ch,pennsylvania,other,,pain,lecture program,2003,1263.5
american society for clinical pharmacology,society for clinical pharmacology,none,medical,pharmacist,other,clinical pharm,2002,330
american society for pain mgmt nurses northern va chapter,society for pain mgmt nurses northern chapter,washington,medical,nurse,pain,conventions,2014,500
american society for pain mgmt nurses northern va chapter,society for pain mgmt nurses northern chapter,washington,medical,nurse,pain,medical ed,2011,750
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,clinical rsch,2002,1900
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,clinical rsch 3,2003,450
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,clinical rsch 3,2004,450
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,conventions,2002,32400
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,conventions,2003,35400
american society of anesthesiologists,society of anesthesiologists,none,medical,physician,anesthesia,conventions,2004,6200
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2002,20450
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2003,19200
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2004,5150
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2006,12000
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2010,2650
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2011,3550
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2012,7300
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2013,3400
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,conventions,2014,3400
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,lecture program,2002,7500
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,lecture program,2003,9700
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,managedcare ff,2002,2000
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,managedcare ff,2003,500
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,managedcare ff,2004,2000
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,managedcare ff,2012,1750
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,managedcare ff,2013,1500
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,market strategies,2003,12353.05
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,market strategies,2004,3225
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2003,68867.3
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2004,1000
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2009,28550
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2010,16300
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2011,289633
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2012,27250
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2013,68275
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,medical ed,2014,15950
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,par against,2003,9027.84
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,par against,2004,8774.2
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,professional rels,2004,4000
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,promotions rx,2002,20400
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,sales force,2003,250
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,st. gov leg  aff,2006,2000
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,st. gov leg  aff,2007,5400
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,st. gov leg  aff,2008,5400
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,st. gov leg  aff,2010,13990
american society of consultant pharmacists,society of consultant pharmacists,none,medical,pharmacist,other,st. gov leg  aff,2012,20500
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,conventions,2003,42450
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,conventions,2004,6650
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,conventions,2005,2900
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,conventions,2014,22850
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,medical ed,2003,86180
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,medical ed,2004,57200
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,medical ed,2012,40000
american society of health system pharmacists,society of health system pharmacists,none,medical,pharmacist,other,st. gov leg  aff,2014,15000
american society of health systems,society of health systems,none,medical,pharmacist,other,conventions,2002,20150
american society of health systems,society of health systems,none,medical,pharmacist,other,drug sfty&pharm,2004,209
american society of health systems,society of health systems,none,medical,pharmacist,other,library infoserv,2002,369.9
american society of health systems,society of health systems,none,medical,pharmacist,other,library infoserv,2003,398
american society of health systems,society of health systems,none,medical,pharmacist,other,library infoserv,2004,418
american society of health systems,society of health systems,none,medical,pharmacist,other,medical affairs,2002,184.95
american society of health systems,society of health systems,none,medical,pharmacist,other,medical affairs,2003,199
american society of health systems,society of health systems,none,medical,pharmacist,other,medical ed,2002,49720
american society of health systems,society of health systems,none,medical,pharmacist,other,medical ed,2003,41300
american society of health systems,society of health systems,none,medical,pharmacist,other,medical servs,2002,184.95
american society of health systems,society of health systems,none,medical,pharmacist,other,medical servs,2003,199
american society of health systems,society of health systems,none,medical,pharmacist,other,medical servs,2004,209
american society of pain educators,society of pain educators,none,other,,pain,medical ed,2006,750
american society of pain educators,society of pain educators,none,other,,pain,st. gov leg  aff,2006,1000
american society of pain educators,society of pain educators,none,other,,pain,st. gov leg  aff,2008,2500
