organization,broad_org,state,type,position,subtype,department,year,amount
international association of chiefs of police,association of chiefs of police,national,law enforcement,police chief,general,lele,2012,5000
international association of chiefs of police,association of chiefs of police,national,law enforcement,police chief,general,medical ed,2002,2500
international association of chiefs of police,association of chiefs of police,national,law enforcement,police chief,general,security rhodes,2003,100
national association of state controlled substance authorities,association of state controlled substance authorities,national,law enforcement,general,narcotics,pur pharma fund,2003,50000
federal bureau of investigations national academy,fbi,national,law enforcement,fbi,general,analgesic,2002,290
international narcotic enforce officers assoc inc,inter narcotic enforce officers assoc inc,national,law enforcement,officer,narcotics,general counsel,2012,1200
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,conventions,2004,1000
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,conventions,2005,1200
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2005,2500
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2008,2500
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2009,3500
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2010,3500
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2011,3500
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2012,2500
maryland academy of family physicians,academy of family physicians,maryland,medical,physician,family,medical ed,2013,2500
maryland academy of physician assistants inc,academy of physician assistants,maryland,medical,physician assistant,general,conventions,2004,1000
maryland academy of physician assistants inc,academy of physician assistants,maryland,medical,physician assistant,general,conventions,2007,500
maryland academy of physician assistants inc,academy of physician assistants,maryland,medical,physician assistant,general,lecture program,2002,1247.84
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2002,1000
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2003,1000
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2004,1000
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2005,1000
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2006,500
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2007,1650
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2008,2000
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2010,3500
maryland board of pharmacy,board of pharmacy,maryland,medical,pharmacist,general,general counsel,2013,1750
maryland pain initiative,pain initiative,maryland,medical,pharmacist,general,st. gov leg  aff,2008,15000
maryland pharmacists assoc,pharmacists association,maryland,medical,pharmacist,general,market strategies,2002,250
maryland pharmacists assoc,pharmacists association,maryland,medical,pharmacist,general,medical ed,2005,2250
maryland pharmacists assoc,pharmacists association,maryland,medical,pharmacist,general,medical ed,2010,1500
maryland society of health system pharmacists,society of health system pharmacists,maryland,medical,pharmacist,general,conventions,2003,150
maryland society of health system pharmacists,society of health system pharmacists,maryland,medical,pharmacist,general,lecture program,2002,2500
maryland society of health system pharmacists,society of health system pharmacists,maryland,medical,pharmacist,general,medical ed,2005,3000
maryland state society of pm&r,society of pain management,maryland,medical,general,pain,sales force,2002,500
massachusetts academy of family physicians,academy of family physicians,massachusetts,medical,physician,family,conventions,2003,500
massachusetts academy of family physicians,academy of family physicians,massachusetts,medical,physician,family,general counsel,2005,500
massachusetts academy of family physicians,academy of family physicians,massachusetts,medical,physician,family,lecture program,2002,500
arthritis foundation massachusetts chapter inc,arthritis foundation inc,massachusetts,medical,general,arthritis,pur pharma fund,2002,10000
international narcotic enforce officers assoc inc,inter narcotic enforce officers assoc inc,national,law enforcement,officer,narcotics,pharmaceutics,2003,1200
international narcotic enforce officers assoc inc,inter narcotic enforce officers assoc inc,national,law enforcement,officer,narcotics,sales admin,2002,625
national narcotic officers,narcotic officers association,national,law enforcement,officer,narcotics,corp.security,2009,25000
massachusetts association of physician assistants,association of physicians assistants,massachusetts,medical,physician assistant,general,conventions,2002,400
massachusetts association of physician assistants,association of physicians assistants,massachusetts,medical,physician assistant,general,lecture program,2002,500
massachusetts association of physician assistants,association of physicians assistants,massachusetts,medical,physician assistant,general,lecture program,2003,1550
hospital pharmacists of western ma,hospital pharmacists of western,massachusetts,medical,pharmacist,hospice,conventions,2010,600
hospital pharmacists of western ma,hospital pharmacists of western,massachusetts,medical,pharmacist,hospice,lecture program,2003,2600
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2008,3000
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2009,3468
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2010,5800
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2011,6050
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2012,6300
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2013,6600
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library infoserv,2014,7100
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,library services,2015,7600
massachusetts medical society dba new england journal of medicine,new england journal of medicine,massachusetts,medical,medical publication,other,promotions rx,2003,37593.6
western massachusetts chapter of the oncology nursin,oncology nursing society,massachusetts,medical,nurse,oncology,lecture program,2002,250
michigan academy of family physicians,academy of family physicians,michigan,medical,physician,family,conventions,2003,1300
michigan academy of family physicians,academy of family physicians,michigan,medical,physician,family,conventions,2004,1230
michigan academy of family physicians,academy of family physicians,michigan,medical,physician,family,lecture programs,2003,2415.4
michigan academy of physician assistants,academy of physician assistants,michigan,medical,physician assistant,other,conventions,2011,1000
michigan academy of physician assistants,academy of physician assistants,michigan,medical,physician assistant,other,conventions,2013,1500
michigan academy of physician assistants,academy of physician assistants,michigan,medical,physician assistant,other,conventions,2014,1500
michigan academy of physician assistants,academy of physician assistants,michigan,medical,physician assistant,other,medical ed,2009,5000
michigan academy of physician assistants,academy of physician assistants,michigan,medical,physician assistant,other,medical ed,2011,5000
michigan assoc of osteopathic family physicians,assoc of osteopathic family physicians,michigan,medical,physician,family,conventions,2002,1500
michigan assoc of osteopathic family physicians,assoc of osteopathic family physicians,michigan,medical,physician,family,conventions,2003,1500
michigan assoc of osteopathic family physicians,assoc of osteopathic family physicians,michigan,medical,physician,family,conventions,2004,750
michigan assoc of osteopathic family physicians,assoc of osteopathic family physicians,michigan,medical,physician,family,medical ed,2007,1500
national narcotic officers,narcotic officers association,national,law enforcement,officer,narcotics,corp.security,2011,10000
west michigan chronic fatigue,chronic fatigue,michigan,medical,general,chronic fatigue,st. gov leg  aff,2013,8500
west michigan chronic fatigue,chronic fatigue,michigan,medical,general,chronic fatigue,st. gov leg  aff,2014,10000
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2002,1275
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2003,2550
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2004,1275
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2010,1350
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2012,700
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2013,1450
michigan osteopathic assoc,osteopathic association,michigan,medical,general,osteopathic,conventions,2014,2800
northern michigan pharmcists assoc,pharmacists association,michigan,medical,pharmacist,general,lecture program,2002,2000
michigan pharmacists assoc,pharmacists association,michigan,medical,pharmacist,other,conventions,2005,1100
michigan pharmacists assoc,pharmacists association,michigan,medical,pharmacist,other,medical ed,2005,2500
michigan society of anestheisologists,society of anesthesiologists,michigan,medical,general,anesthesia,conventions,2004,350
michigan society of anestheisologists,society of anesthesiologists,michigan,medical,general,anesthesia,lecture program,2002,350
western michigan society of health system pharmacists,society of health system pharmacists,michigan,medical,pharmacist,general,lecture program,2003,2000
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,conventions,2004,850
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,conventions,2011,1900
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,conventions,2013,950
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,conventions,2014,2450
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,conventions,2015,950
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,health policy,2012,1000
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,health policy,2013,2500
minnesota academy of family physicians,academy of family physicians,minnesota,medical,physician,family,managedcare ff,2002,700
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,general,conventions,2004,500
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,general,conventions,2012,1000
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,general,conventions,2013,1000
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,general,conventions,2014,1000
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,general,conventions,2015,1000
national narcotic officers,narcotic officers association,national,law enforcement,officer,narcotics,corp.security,2012,2500
association of southeast minnesota nurse practioners,association of southeast nurse practioners,minnesota,medical,nurse,other,lecture program,2002,1000
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2005,540
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2006,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2007,450
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2008,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2009,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2010,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2011,616
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2012,660
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2013,860
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,general,general counsel,2014,880
central minnesota society of hospital pharmacists,central society of hospital pharmacists,minnesota,medical,pharmacist,other,conventions,2003,1000
central minnesota society of hospital pharmacists,central society of hospital pharmacists,minnesota,medical,pharmacist,other,managedcare ff,2002,1000
central minnesota society of hospital pharmacists,central society of hospital pharmacists,minnesota,medical,pharmacist,other,medical ed,2010,2500
american college of physicians minnesota chapter,college of physicians,minnesota,medical,physician,general,conventions,2004,2000
minnesota gerontological society,gerontological society,minnesota,medical,general,gerentology,conventions,2003,400
minnesota gerontological society,gerontological society,minnesota,medical,general,gerentology,conventions,2004,800
minnesota medical association,medical association,minnesota,medical,general,general,medical ed,2005,3500
minnesota medical directors assoc,medical directors association,minnesota,medical,medical director,general,conventions,2003,1000
minnesota medical directors assoc,medical directors association,minnesota,medical,medical director,general,managedcare ff,2002,1000
third district of minnesota nurses association,nurses association,minnesota,medical,nurse,general,conventions,2003,400
third district of minnesota nurses association,nurses association,minnesota,medical,nurse,general,lecture program,2002,500
metro minnesota oncology nursing society,oncology nursing society,minnesota,medical,nurse,oncology,conventions,2002,300
metro minnesota oncology nursing society,oncology nursing society,minnesota,medical,nurse,oncology,conventions,2003,300
metro minnesota oncology nursing society,oncology nursing society,minnesota,medical,nurse,oncology,lecture programs,2003,2000
west central minnesota oncology nursing society,oncology nursing society,minnesota,medical,nurse,oncology,conventions,2003,500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,conventions,2003,2650
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,conventions,2004,500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,conventions,2013,1000
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,managedcare ff,2002,525
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,medical ed,2005,1500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,medical ed,2012,3500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,medical ed,2013,3000
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,medical ed,2014,2500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,general,promotions rx,2004,1610
minnesota pharmacists foundation,pharmacists association,minnesota,medical,pharmacist,general,pur pharma fund,2009,15000
minnesota society of anesthesiologists,society of anesthesiologists,minnesota,medical,general,anesthesia,conventions,2002,250
minnesota society of anesthesiologists,society of anesthesiologists,minnesota,medical,general,anesthesia,lecture program,2002,250
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2002,1000
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2003,1250
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2004,1350
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2006,400
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2013,1300
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2014,1400
mississippi state board of pharmacy,board of pharmacy,mississippi,medical,pharmacist,general,general counsel,2010,600
mississippi state board of pharmacy,board of pharmacy,mississippi,medical,pharmacist,general,general counsel,2011,850
mississippi state board of pharmacy,board of pharmacy,mississippi,medical,pharmacist,general,general counsel,2012,50
mississippi state board of pharmacy,board of pharmacy,mississippi,medical,pharmacist,general,general counsel,2013,1100
mississippi gulf coast chapter of the oncology nursing society,gulf coast chapter of the oncology nursing society,mississippi,medical,nurse,oncology,conventions,2003,250
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,analgesic,2002,1180
mississippi nurses association,nurses association,mississippi,medical,nurse,general,conventions,2012,650
mississippi nurses association,nurses association,mississippi,medical,nurse,general,lecture program,2002,5000
mississippi nurses association,nurses association,mississippi,medical,nurse,general,medical ed,2008,1000
mississippi nurses association,nurses association,mississippi,medical,nurse,general,medical ed,2009,1000
mississippi nurses association,nurses association,mississippi,medical,nurse,general,medical ed,2010,1000
mississippi nurses association,nurses association,mississippi,medical,nurse,general,medical ed,2011,1000
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,medical,general,osteopathic,conventions,2003,800
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,medical,general,osteopathic,conventions,2004,800
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,medical,general,osteopathic,conventions,2013,1350
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,medical,general,osteopathic,conventions,2014,1350
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,medical,general,osteopathic,medical ed,2006,500
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,medical,general,osteopathic,medical ed,2008,2000
mississippi pain society,pain society,mississippi,medical,general,pain,managedcare ff,2002,500
mississippi pain society,pain society,mississippi,medical,general,pain,medical ed,2003,2500
mississippi pain society,pain society,mississippi,medical,general,pain,medical ed,2006,500
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,conventions,2003,700
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,conventions,2004,700
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,conventions,2011,700
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,lecture program,2003,2000
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,managedcare ff,2002,650
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,market strategies,2002,360
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,general,market strategies,2004,360
mississippi society of health system pharmacist,society of health system pharmacists,mississippi,medical,pharmacist,general,medical ed,2009,2500
missouri academy of family physicians,academy of family physicians,missouri,medical,physician,family,medical ed,2006,1000
missouri academy of family physicians,academy of family physicians,missouri,medical,physician,family,medical ed,2008,2500
missouri academy of physician assistants,academy of physician assistants,missouri,medical,physician assistant,general,conventions,2010,500
arthritis foundation eastern mo,arthritis foundation inc,missouri,medical,general,arthritis,st. gov leg  aff,2007,500
arthritis foundation eastern mo,arthritis foundation inc,missouri,medical,general,arthritis,st. gov leg  aff,2009,2000
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2003,836
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2004,36
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2005,838
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2007,825
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2009,950
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2011,950
state of missouri missouri board of pharmacy,board of pharmacy,missouri,medical,pharmacist,general,general counsel,2013,500
missouri chapter of the american college of physicians,college of physicians,missouri,medical,physician,general,conventions,2002,900
missouri chapter of the american college of physicians,college of physicians,missouri,medical,physician,general,conventions,2003,900
missouri chapter of the american college of physicians,college of physicians,missouri,medical,physician,general,conventions,2011,1000
missouri health care association,health care association,missouri,medical,general,general,conventions,2003,700
missouri health care association,health care association,missouri,medical,general,general,lecture program,2002,500
missouri state medical association,medical association,missouri,medical,general,general,conventions,2002,1000
missouri state medical association,medical association,missouri,medical,general,general,conventions,2003,1000
missouri state medical association,medical association,missouri,medical,general,general,conventions,2004,1000
missouri state medical association,medical association,missouri,medical,general,general,medical ed,2003,1250
southeast missouri oncology nursing society,oncology nursing society,missouri,medical,nurse,oncology,lecture program,2002,832.5
missouri pharmacy association,pharmacists association,missouri,medical,pharmacist,general,managedcare ff,2002,675
american society of pain mngmt nurses st louis chapter,society of pain management nurses,missouri,medical,nurse,pain,medical ed,2002,1000
american society of pain mngmt nurses st louis chapter,society of pain management nurses,missouri,medical,nurse,pain,medical ed,2012,2500
american society of pain mngmt nurses st louis chapter,society of pain management nurses,missouri,medical,nurse,pain,medical ed,2014,2500
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,conventions,2003,700
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,conventions,2004,500
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,conventions,2008,550
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,lecture program,2002,2000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,medical ed,2006,3000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,medical ed,2007,3000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,medical ed,2008,3000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,medical,general,osteopathic,medical ed,2009,3000
montana academy of physician physician assistants,academy of physician assistants,montana,medical,physician assistant,general,conventions,2003,300
montana academy of physician physician assistants,academy of physician assistants,montana,medical,physician assistant,general,conventions,2010,1000
montana academy of physician physician assistants,academy of physician assistants,montana,medical,physician assistant,general,medical ed,2014,4300
montana state board of pharmacy,board of pharmacy,montana,medical,pharmacist,other,medical ed,2003,2000
montana gerontology society,gerontological society,montana,medical,general,gerentology,conventions,2005,200
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,analgesic,2003,70435
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,analgesic,2004,395
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,analgesic,2005,325
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,health policy,2008,2500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,health policy,2009,2500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,health policy,2010,52500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,health policy,2011,52500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,health policy,2012,50000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,health policy,2013,55000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,medical ed,2013,6000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,medical ed,2014,5000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,general,patient & professional relations,2014,2500
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,conventions,2002,2175
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,conventions,2003,1400
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,conventions,2011,21400
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,conventions,2012,14500
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,managedcare ff,2003,2654
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,medical ed,2002,6750
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,medical ed,2010,45580
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,medical ed,2011,15000
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,medical ed,2012,24870
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,medical ed,2013,15000
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,medical ed,2014,10000
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,general,st. gov leg  aff,2012,16000
naddi national assoc of drug diversion investigators in,association of drug diversion investigators,national,law enforcement,investigator,narcotics,corp.security,2004,50
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,analgesic,2004,1000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2002,1500
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2003,1000
national association boards of phar district 6 7,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2002,500
national association boards of phar district 6 7,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2005,2000
national association boards of phar district 6 7,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2011,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,analgesic,2004,4000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,creative servs,2004,20
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2003,560
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2007,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2008,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2009,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2011,1015000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2012,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2013,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,health policy,2014,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2004,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2005,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2006,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2007,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2008,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2009,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2010,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2011,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2012,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,library infoserv,2013,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2003,9000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2004,3450
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2005,10000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2006,7500
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2007,2500
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2008,10000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2009,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2010,20000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2011,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2012,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2013,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical ed,2014,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,medical servs,2003,20
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,st. gov leg  aff,2003,20
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,general,st. gov leg  aff,2012,50000
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2002,36600
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2003,45200
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2004,8550
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2006,19100
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2007,19550
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2008,63600
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2009,22600
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2010,12450
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2011,34350
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2012,84660
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2013,6210
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,conventions,2014,35190
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,executive admin,2002,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,market research,2003,975
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2002,9750
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2003,17250
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2004,4875
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2005,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2006,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2007,19960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2008,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,national accts,2012,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,general,professional rels,2004,9960
