organization,department,year,amount
association of rehab nurses,new prod-budget,2008,0
association of rehab nurses,new prod-budget,2009,0
association of rehab nurses,new prod-budget,2010,0
association of rehab nurses,new prod-budget,2011,0
association of rehab nurses,new prod-budget,2012,0
association of rehab nurses,new prod-budget,2013,0
association of rehab nurses,new prod-budget,2014,0
association of rehab nurses,new prod-budget,2015,0
association of rehab nurses,st. gov leg  aff,2002,0
association of rehab nurses,st. gov leg  aff,2003,0
association of rehab nurses,st. gov leg  aff,2004,0
association of rehab nurses,st. gov leg  aff,2005,0
association of rehab nurses,st. gov leg  aff,2006,0
association of rehab nurses,st. gov leg  aff,2007,2000
association of rehab nurses,st. gov leg  aff,2008,2000
association of rehab nurses,st. gov leg  aff,2009,0
association of rehab nurses,st. gov leg  aff,2010,15000
association of rehab nurses,st. gov leg  aff,2011,42500
association of rehab nurses,st. gov leg  aff,2012,20000
association of rehab nurses,st. gov leg  aff,2013,20000
association of rehab nurses,st. gov leg  aff,2014,14000
association of rehab nurses,st. gov leg  aff,2015,0
association of southeast minnesota nurse practioners,lecture program,2002,1000
association of southeast minnesota nurse practioners,lecture program,2003,0
association of southeast minnesota nurse practioners,lecture program,2004,0
association of southeast minnesota nurse practioners,lecture program,2005,0
association of southeast minnesota nurse practioners,lecture program,2006,0
association of southeast minnesota nurse practioners,lecture program,2007,0
association of southeast minnesota nurse practioners,lecture program,2008,0
association of southeast minnesota nurse practioners,lecture program,2009,0
association of southeast minnesota nurse practioners,lecture program,2010,0
association of southeast minnesota nurse practioners,lecture program,2011,0
association of southeast minnesota nurse practioners,lecture program,2012,0
association of southeast minnesota nurse practioners,lecture program,2013,0
association of southeast minnesota nurse practioners,lecture program,2014,0
association of southeast minnesota nurse practioners,lecture program,2015,0
association of state and territorial chronic disease,public affairs,2002,0
association of state and territorial chronic disease,public affairs,2003,245
association of state and territorial chronic disease,public affairs,2004,0
association of state and territorial chronic disease,public affairs,2005,0
association of state and territorial chronic disease,public affairs,2006,0
association of state and territorial chronic disease,public affairs,2007,0
association of state and territorial chronic disease,public affairs,2008,0
association of state and territorial chronic disease,public affairs,2009,0
association of state and territorial chronic disease,public affairs,2010,0
association of state and territorial chronic disease,public affairs,2011,0
association of state and territorial chronic disease,public affairs,2012,0
association of state and territorial chronic disease,public affairs,2013,0
association of state and territorial chronic disease,public affairs,2014,0
association of state and territorial chronic disease,public affairs,2015,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2002,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2003,240
atlanta convention  & visitors bureau enterprises ltd,medical ed,2004,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2005,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2006,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2007,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2008,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2009,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2010,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2011,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2012,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2013,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2014,0
atlanta convention  & visitors bureau enterprises ltd,medical ed,2015,0
aventine co dba aventine health sciences,conventions,2002,0
aventine co dba aventine health sciences,conventions,2003,0
aventine co dba aventine health sciences,conventions,2004,0
aventine co dba aventine health sciences,conventions,2005,0
aventine co dba aventine health sciences,conventions,2006,0
aventine co dba aventine health sciences,conventions,2007,0
aventine co dba aventine health sciences,conventions,2008,0
aventine co dba aventine health sciences,conventions,2009,0
aventine co dba aventine health sciences,conventions,2010,0
aventine co dba aventine health sciences,conventions,2011,77600
aventine co dba aventine health sciences,conventions,2012,81000
aventine co dba aventine health sciences,conventions,2013,75000
aventine co dba aventine health sciences,conventions,2014,9500
aventine co dba aventine health sciences,conventions,2015,0
aventine co dba aventine health sciences,health policy,2002,0
aventine co dba aventine health sciences,health policy,2003,0
aventine co dba aventine health sciences,health policy,2004,0
aventine co dba aventine health sciences,health policy,2005,0
aventine co dba aventine health sciences,health policy,2006,0
aventine co dba aventine health sciences,health policy,2007,0
aventine co dba aventine health sciences,health policy,2008,0
aventine co dba aventine health sciences,health policy,2009,0
aventine co dba aventine health sciences,health policy,2010,0
aventine co dba aventine health sciences,health policy,2011,0
aventine co dba aventine health sciences,health policy,2012,0
aventine co dba aventine health sciences,health policy,2013,1035
aventine co dba aventine health sciences,health policy,2014,0
aventine co dba aventine health sciences,health policy,2015,0
aventine co dba aventine health sciences,medical ed,2002,0
aventine co dba aventine health sciences,medical ed,2003,0
aventine co dba aventine health sciences,medical ed,2004,0
aventine co dba aventine health sciences,medical ed,2005,0
aventine co dba aventine health sciences,medical ed,2006,0
aventine co dba aventine health sciences,medical ed,2007,200
aventine co dba aventine health sciences,medical ed,2008,0
aventine co dba aventine health sciences,medical ed,2009,0
aventine co dba aventine health sciences,medical ed,2010,60000
aventine co dba aventine health sciences,medical ed,2011,0
aventine co dba aventine health sciences,medical ed,2012,0
aventine co dba aventine health sciences,medical ed,2013,8400
aventine co dba aventine health sciences,medical ed,2014,0
aventine co dba aventine health sciences,medical ed,2015,0
aventine co dba aventine health sciences,medical servs,2002,0
aventine co dba aventine health sciences,medical servs,2003,0
aventine co dba aventine health sciences,medical servs,2004,0
aventine co dba aventine health sciences,medical servs,2005,0
aventine co dba aventine health sciences,medical servs,2006,0
aventine co dba aventine health sciences,medical servs,2007,0
aventine co dba aventine health sciences,medical servs,2008,0
aventine co dba aventine health sciences,medical servs,2009,0
aventine co dba aventine health sciences,medical servs,2010,0
aventine co dba aventine health sciences,medical servs,2011,0
aventine co dba aventine health sciences,medical servs,2012,0
aventine co dba aventine health sciences,medical servs,2013,3000
aventine co dba aventine health sciences,medical servs,2014,0
aventine co dba aventine health sciences,medical servs,2015,0
aventine co dba aventine health sciences,promotions rx,2002,0
aventine co dba aventine health sciences,promotions rx,2003,0
aventine co dba aventine health sciences,promotions rx,2004,0
aventine co dba aventine health sciences,promotions rx,2005,0
aventine co dba aventine health sciences,promotions rx,2006,0
aventine co dba aventine health sciences,promotions rx,2007,0
aventine co dba aventine health sciences,promotions rx,2008,0
aventine co dba aventine health sciences,promotions rx,2009,0
aventine co dba aventine health sciences,promotions rx,2010,0
aventine co dba aventine health sciences,promotions rx,2011,0
aventine co dba aventine health sciences,promotions rx,2012,0
aventine co dba aventine health sciences,promotions rx,2013,38042
aventine co dba aventine health sciences,promotions rx,2014,100500
aventine co dba aventine health sciences,promotions rx,2015,30000
baylor college intercultural cancer council,analgesic,2002,0
baylor college intercultural cancer council,analgesic,2003,0
baylor college intercultural cancer council,analgesic,2004,0
baylor college intercultural cancer council,analgesic,2005,0
baylor college intercultural cancer council,analgesic,2006,0
baylor college intercultural cancer council,analgesic,2007,60
baylor college intercultural cancer council,analgesic,2008,0
baylor college intercultural cancer council,analgesic,2009,0
baylor college intercultural cancer council,analgesic,2010,0
baylor college intercultural cancer council,analgesic,2011,0
baylor college intercultural cancer council,analgesic,2012,0
baylor college intercultural cancer council,analgesic,2013,0
baylor college intercultural cancer council,analgesic,2014,0
baylor college intercultural cancer council,analgesic,2015,0
baylor college intercultural cancer council,lecture program,2002,0
baylor college intercultural cancer council,lecture program,2003,1000
baylor college intercultural cancer council,lecture program,2004,0
baylor college intercultural cancer council,lecture program,2005,0
baylor college intercultural cancer council,lecture program,2006,0
baylor college intercultural cancer council,lecture program,2007,0
baylor college intercultural cancer council,lecture program,2008,0
baylor college intercultural cancer council,lecture program,2009,0
baylor college intercultural cancer council,lecture program,2010,0
baylor college intercultural cancer council,lecture program,2011,0
baylor college intercultural cancer council,lecture program,2012,0
baylor college intercultural cancer council,lecture program,2013,0
baylor college intercultural cancer council,lecture program,2014,0
baylor college intercultural cancer council,lecture program,2015,0
baylor college intercultural cancer council,medical ed,2002,10000
baylor college intercultural cancer council,medical ed,2003,10000
baylor college intercultural cancer council,medical ed,2004,53000
baylor college intercultural cancer council,medical ed,2005,0
baylor college intercultural cancer council,medical ed,2006,0
baylor college intercultural cancer council,medical ed,2007,0
baylor college intercultural cancer council,medical ed,2008,0
baylor college intercultural cancer council,medical ed,2009,0
baylor college intercultural cancer council,medical ed,2010,0
baylor college intercultural cancer council,medical ed,2011,0
baylor college intercultural cancer council,medical ed,2012,0
baylor college intercultural cancer council,medical ed,2013,0
baylor college intercultural cancer council,medical ed,2014,0
baylor college intercultural cancer council,medical ed,2015,0
baylor college intercultural cancer council,medical rsch,2002,0
baylor college intercultural cancer council,medical rsch,2003,13435
baylor college intercultural cancer council,medical rsch,2004,0
baylor college intercultural cancer council,medical rsch,2005,0
baylor college intercultural cancer council,medical rsch,2006,0
baylor college intercultural cancer council,medical rsch,2007,0
baylor college intercultural cancer council,medical rsch,2008,0
baylor college intercultural cancer council,medical rsch,2009,0
baylor college intercultural cancer council,medical rsch,2010,0
baylor college intercultural cancer council,medical rsch,2011,0
baylor college intercultural cancer council,medical rsch,2012,0
baylor college intercultural cancer council,medical rsch,2013,0
baylor college intercultural cancer council,medical rsch,2014,0
baylor college intercultural cancer council,medical rsch,2015,0
baylor college intercultural cancer council,pur pharma fund,2002,45000
baylor college intercultural cancer council,pur pharma fund,2003,100000
baylor college intercultural cancer council,pur pharma fund,2004,175000
baylor college intercultural cancer council,pur pharma fund,2005,200000
baylor college intercultural cancer council,pur pharma fund,2006,0
baylor college intercultural cancer council,pur pharma fund,2007,0
baylor college intercultural cancer council,pur pharma fund,2008,0
baylor college intercultural cancer council,pur pharma fund,2009,0
baylor college intercultural cancer council,pur pharma fund,2010,0
baylor college intercultural cancer council,pur pharma fund,2011,0
baylor college intercultural cancer council,pur pharma fund,2012,0
baylor college intercultural cancer council,pur pharma fund,2013,0
baylor college intercultural cancer council,pur pharma fund,2014,0
baylor college intercultural cancer council,pur pharma fund,2015,0
baylor college intercultural cancer council,st. gov leg  aff,2002,0
baylor college intercultural cancer council,st. gov leg  aff,2003,0
baylor college intercultural cancer council,st. gov leg  aff,2004,0
baylor college intercultural cancer council,st. gov leg  aff,2005,0
baylor college intercultural cancer council,st. gov leg  aff,2006,0
baylor college intercultural cancer council,st. gov leg  aff,2007,0
baylor college intercultural cancer council,st. gov leg  aff,2008,2500
baylor college intercultural cancer council,st. gov leg  aff,2009,0
baylor college intercultural cancer council,st. gov leg  aff,2010,0
baylor college intercultural cancer council,st. gov leg  aff,2011,0
baylor college intercultural cancer council,st. gov leg  aff,2012,0
baylor college intercultural cancer council,st. gov leg  aff,2013,0
baylor college intercultural cancer council,st. gov leg  aff,2014,0
baylor college intercultural cancer council,st. gov leg  aff,2015,0
big sky chapter of the oncology nursing society,medical ed,2002,500
big sky chapter of the oncology nursing society,medical ed,2003,0
big sky chapter of the oncology nursing society,medical ed,2004,0
big sky chapter of the oncology nursing society,medical ed,2005,0
big sky chapter of the oncology nursing society,medical ed,2006,0
big sky chapter of the oncology nursing society,medical ed,2007,0
big sky chapter of the oncology nursing society,medical ed,2008,0
big sky chapter of the oncology nursing society,medical ed,2009,0
big sky chapter of the oncology nursing society,medical ed,2010,0
big sky chapter of the oncology nursing society,medical ed,2011,0
big sky chapter of the oncology nursing society,medical ed,2012,0
big sky chapter of the oncology nursing society,medical ed,2013,0
big sky chapter of the oncology nursing society,medical ed,2014,0
big sky chapter of the oncology nursing society,medical ed,2015,0
biotechnology industry organ,dom oth inc_exp,2002,0
biotechnology industry organ,dom oth inc_exp,2003,0
biotechnology industry organ,dom oth inc_exp,2004,0
biotechnology industry organ,dom oth inc_exp,2005,0
biotechnology industry organ,dom oth inc_exp,2006,0
biotechnology industry organ,dom oth inc_exp,2007,0
biotechnology industry organ,dom oth inc_exp,2008,0
biotechnology industry organ,dom oth inc_exp,2009,0
biotechnology industry organ,dom oth inc_exp,2010,0
biotechnology industry organ,dom oth inc_exp,2011,0
biotechnology industry organ,dom oth inc_exp,2012,0
biotechnology industry organ,dom oth inc_exp,2013,0
biotechnology industry organ,dom oth inc_exp,2014,0
biotechnology industry organ,dom oth inc_exp,2015,320000
biotechnology industry organ,fin analysis,2002,0
biotechnology industry organ,fin analysis,2003,0
biotechnology industry organ,fin analysis,2004,0
biotechnology industry organ,fin analysis,2005,0
biotechnology industry organ,fin analysis,2006,2195
biotechnology industry organ,fin analysis,2007,0
biotechnology industry organ,fin analysis,2008,0
biotechnology industry organ,fin analysis,2009,0
biotechnology industry organ,fin analysis,2010,0
biotechnology industry organ,fin analysis,2011,0
biotechnology industry organ,fin analysis,2012,0
biotechnology industry organ,fin analysis,2013,0
biotechnology industry organ,fin analysis,2014,0
biotechnology industry organ,fin analysis,2015,0
biotechnology industry organ,lic &s dev,2002,0
biotechnology industry organ,lic &s dev,2003,0
biotechnology industry organ,lic &s dev,2004,0
biotechnology industry organ,lic &s dev,2005,0
biotechnology industry organ,lic &s dev,2006,0
biotechnology industry organ,lic &s dev,2007,0
biotechnology industry organ,lic &s dev,2008,0
biotechnology industry organ,lic &s dev,2009,0
biotechnology industry organ,lic &s dev,2010,152500
biotechnology industry organ,lic &s dev,2011,625000
biotechnology industry organ,lic &s dev,2012,0
biotechnology industry organ,lic &s dev,2013,0
biotechnology industry organ,lic &s dev,2014,210000
biotechnology industry organ,lic &s dev,2015,0
biotechnology industry organ,st. gov leg  aff,2002,0
biotechnology industry organ,st. gov leg  aff,2003,0
biotechnology industry organ,st. gov leg  aff,2004,0
biotechnology industry organ,st. gov leg  aff,2005,0
biotechnology industry organ,st. gov leg  aff,2006,0
biotechnology industry organ,st. gov leg  aff,2007,0
biotechnology industry organ,st. gov leg  aff,2008,0
biotechnology industry organ,st. gov leg  aff,2009,0
biotechnology industry organ,st. gov leg  aff,2010,0
biotechnology industry organ,st. gov leg  aff,2011,0
biotechnology industry organ,st. gov leg  aff,2012,0
biotechnology industry organ,st. gov leg  aff,2013,0
biotechnology industry organ,st. gov leg  aff,2014,160000
biotechnology industry organ,st. gov leg  aff,2015,0
bob woodruff family foundation inc,st. gov leg  aff,2002,0
bob woodruff family foundation inc,st. gov leg  aff,2003,0
bob woodruff family foundation inc,st. gov leg  aff,2004,0
bob woodruff family foundation inc,st. gov leg  aff,2005,0
bob woodruff family foundation inc,st. gov leg  aff,2006,0
bob woodruff family foundation inc,st. gov leg  aff,2007,0
bob woodruff family foundation inc,st. gov leg  aff,2008,50000
bob woodruff family foundation inc,st. gov leg  aff,2009,50000
bob woodruff family foundation inc,st. gov leg  aff,2010,50000
bob woodruff family foundation inc,st. gov leg  aff,2011,50000
bob woodruff family foundation inc,st. gov leg  aff,2012,50000
bob woodruff family foundation inc,st. gov leg  aff,2013,50000
bob woodruff family foundation inc,st. gov leg  aff,2014,0
bob woodruff family foundation inc,st. gov leg  aff,2015,0
boston oncology nursing soc,conventions,2002,0
boston oncology nursing soc,conventions,2003,0
boston oncology nursing soc,conventions,2004,500
boston oncology nursing soc,conventions,2005,500
boston oncology nursing soc,conventions,2006,0
boston oncology nursing soc,conventions,2007,0
boston oncology nursing soc,conventions,2008,500
boston oncology nursing soc,conventions,2009,0
boston oncology nursing soc,conventions,2010,0
boston oncology nursing soc,conventions,2011,0
boston oncology nursing soc,conventions,2012,0
boston oncology nursing soc,conventions,2013,0
boston oncology nursing soc,conventions,2014,0
boston oncology nursing soc,conventions,2015,0
boston oncology nursing soc,lecture program,2002,500
boston oncology nursing soc,lecture program,2003,0
boston oncology nursing soc,lecture program,2004,0
boston oncology nursing soc,lecture program,2005,0
boston oncology nursing soc,lecture program,2006,0
boston oncology nursing soc,lecture program,2007,0
boston oncology nursing soc,lecture program,2008,0
boston oncology nursing soc,lecture program,2009,0
boston oncology nursing soc,lecture program,2010,0
boston oncology nursing soc,lecture program,2011,0
boston oncology nursing soc,lecture program,2012,0
boston oncology nursing soc,lecture program,2013,0
boston oncology nursing soc,lecture program,2014,0
boston oncology nursing soc,lecture program,2015,0
boston oncology nursing soc,lecture programs,2002,0
boston oncology nursing soc,lecture programs,2003,1500
boston oncology nursing soc,lecture programs,2004,0
boston oncology nursing soc,lecture programs,2005,0
boston oncology nursing soc,lecture programs,2006,0
boston oncology nursing soc,lecture programs,2007,0
boston oncology nursing soc,lecture programs,2008,0
boston oncology nursing soc,lecture programs,2009,0
boston oncology nursing soc,lecture programs,2010,0
boston oncology nursing soc,lecture programs,2011,0
boston oncology nursing soc,lecture programs,2012,0
boston oncology nursing soc,lecture programs,2013,0
boston oncology nursing soc,lecture programs,2014,0
boston oncology nursing soc,lecture programs,2015,0
broward oncology nursing society,lecture program,2002,5000
broward oncology nursing society,lecture program,2003,0
broward oncology nursing society,lecture program,2004,0
broward oncology nursing society,lecture program,2005,0
broward oncology nursing society,lecture program,2006,0
broward oncology nursing society,lecture program,2007,0
broward oncology nursing society,lecture program,2008,0
broward oncology nursing society,lecture program,2009,0
broward oncology nursing society,lecture program,2010,0
broward oncology nursing society,lecture program,2011,0
broward oncology nursing society,lecture program,2012,0
broward oncology nursing society,lecture program,2013,0
broward oncology nursing society,lecture program,2014,0
broward oncology nursing society,lecture program,2015,0
california academy of family phys,lecture program,2002,0
california academy of family phys,lecture program,2003,1500
california academy of family phys,lecture program,2004,0
california academy of family phys,lecture program,2005,0
california academy of family phys,lecture program,2006,0
california academy of family phys,lecture program,2007,0
california academy of family phys,lecture program,2008,0
california academy of family phys,lecture program,2009,0
california academy of family phys,lecture program,2010,0
california academy of family phys,lecture program,2011,0
california academy of family phys,lecture program,2012,0
california academy of family phys,lecture program,2013,0
california academy of family phys,lecture program,2014,0
california academy of family phys,lecture program,2015,0
california academy of family phys,medical ed,2002,0
california academy of family phys,medical ed,2003,15784.18
california academy of family phys,medical ed,2004,0
california academy of family phys,medical ed,2005,0
california academy of family phys,medical ed,2006,0
california academy of family phys,medical ed,2007,0
california academy of family phys,medical ed,2008,0
california academy of family phys,medical ed,2009,0
california academy of family phys,medical ed,2010,0
california academy of family phys,medical ed,2011,0
california academy of family phys,medical ed,2012,0
california academy of family phys,medical ed,2013,0
california academy of family phys,medical ed,2014,0
california academy of family phys,medical ed,2015,0
california academy of family physicians,medical ed,2002,127865.72
california academy of family physicians,medical ed,2003,147534.43
california academy of family physicians,medical ed,2004,175500
california academy of family physicians,medical ed,2005,267000
california academy of family physicians,medical ed,2006,0
california academy of family physicians,medical ed,2007,0
california academy of family physicians,medical ed,2008,0
california academy of family physicians,medical ed,2009,91300
california academy of family physicians,medical ed,2010,0
california academy of family physicians,medical ed,2011,125000
california academy of family physicians,medical ed,2012,0
california academy of family physicians,medical ed,2013,0
california academy of family physicians,medical ed,2014,0
california academy of family physicians,medical ed,2015,0
california academy of family physicians,other,2002,0
california academy of family physicians,other,2003,0
california academy of family physicians,other,2004,157000
california academy of family physicians,other,2005,0
california academy of family physicians,other,2006,0
california academy of family physicians,other,2007,0
california academy of family physicians,other,2008,0
california academy of family physicians,other,2009,0
california academy of family physicians,other,2010,0
california academy of family physicians,other,2011,0
california academy of family physicians,other,2012,0
california academy of family physicians,other,2013,0
california academy of family physicians,other,2014,0
california academy of family physicians,other,2015,0
california academy of family physicians,sales admin,2002,44596.96
california academy of family physicians,sales admin,2003,0
california academy of family physicians,sales admin,2004,0
california academy of family physicians,sales admin,2005,0
california academy of family physicians,sales admin,2006,0
california academy of family physicians,sales admin,2007,0
california academy of family physicians,sales admin,2008,0
california academy of family physicians,sales admin,2009,0
california academy of family physicians,sales admin,2010,0
california academy of family physicians,sales admin,2011,0
california academy of family physicians,sales admin,2012,0
california academy of family physicians,sales admin,2013,0
california academy of family physicians,sales admin,2014,0
california academy of family physicians,sales admin,2015,0
california academy physician assistants,conventions,2002,0
california academy physician assistants,conventions,2003,760
california academy physician assistants,conventions,2004,0
california academy physician assistants,conventions,2005,0
california academy physician assistants,conventions,2006,0
california academy physician assistants,conventions,2007,0
california academy physician assistants,conventions,2008,0
california academy physician assistants,conventions,2009,0
california academy physician assistants,conventions,2010,0
california academy physician assistants,conventions,2011,0
california academy physician assistants,conventions,2012,0
california academy physician assistants,conventions,2013,0
california academy physician assistants,conventions,2014,0
california academy physician assistants,conventions,2015,0
california academy physician assistants,medical ed,2002,0
california academy physician assistants,medical ed,2003,0
california academy physician assistants,medical ed,2004,0
california academy physician assistants,medical ed,2005,0
california academy physician assistants,medical ed,2006,0
california academy physician assistants,medical ed,2007,0
california academy physician assistants,medical ed,2008,0
california academy physician assistants,medical ed,2009,0
california academy physician assistants,medical ed,2010,0
california academy physician assistants,medical ed,2011,0
california academy physician assistants,medical ed,2012,5000
california academy physician assistants,medical ed,2013,5000
california academy physician assistants,medical ed,2014,12500
california academy physician assistants,medical ed,2015,0
california association for nurse practitioners,conventions,2002,0
california association for nurse practitioners,conventions,2003,0
california association for nurse practitioners,conventions,2004,0
california association for nurse practitioners,conventions,2005,1000
california association for nurse practitioners,conventions,2006,0
california association for nurse practitioners,conventions,2007,0
california association for nurse practitioners,conventions,2008,0
california association for nurse practitioners,conventions,2009,0
california association for nurse practitioners,conventions,2010,0
california association for nurse practitioners,conventions,2011,0
california association for nurse practitioners,conventions,2012,0
california association for nurse practitioners,conventions,2013,0
california association for nurse practitioners,conventions,2014,0
california association for nurse practitioners,conventions,2015,0
california association for nurse practitioners,medical ed,2002,0
california association for nurse practitioners,medical ed,2003,7500
california association for nurse practitioners,medical ed,2004,0
california association for nurse practitioners,medical ed,2005,0
california association for nurse practitioners,medical ed,2006,0
california association for nurse practitioners,medical ed,2007,2500
california association for nurse practitioners,medical ed,2008,0
california association for nurse practitioners,medical ed,2009,0
california association for nurse practitioners,medical ed,2010,0
california association for nurse practitioners,medical ed,2011,0
california association for nurse practitioners,medical ed,2012,0
california association for nurse practitioners,medical ed,2013,0
california association for nurse practitioners,medical ed,2014,0
california association for nurse practitioners,medical ed,2015,0
california hospice and palliative care association,conventions,2002,0
california hospice and palliative care association,conventions,2003,550
california hospice and palliative care association,conventions,2004,0
california hospice and palliative care association,conventions,2005,0
california hospice and palliative care association,conventions,2006,0
california hospice and palliative care association,conventions,2007,0
california hospice and palliative care association,conventions,2008,0
california hospice and palliative care association,conventions,2009,0
california hospice and palliative care association,conventions,2010,0
california hospice and palliative care association,conventions,2011,0
california hospice and palliative care association,conventions,2012,0
california hospice and palliative care association,conventions,2013,0
california hospice and palliative care association,conventions,2014,0
california hospice and palliative care association,conventions,2015,0
california hospice and palliative care association,lecture program,2002,300
california hospice and palliative care association,lecture program,2003,0
california hospice and palliative care association,lecture program,2004,0
california hospice and palliative care association,lecture program,2005,0
california hospice and palliative care association,lecture program,2006,0
california hospice and palliative care association,lecture program,2007,0
california hospice and palliative care association,lecture program,2008,0
california hospice and palliative care association,lecture program,2009,0
california hospice and palliative care association,lecture program,2010,0
california hospice and palliative care association,lecture program,2011,0
california hospice and palliative care association,lecture program,2012,0
california hospice and palliative care association,lecture program,2013,0
california hospice and palliative care association,lecture program,2014,0
california hospice and palliative care association,lecture program,2015,0
california hospice foundation,lecture program,2002,500
california hospice foundation,lecture program,2003,0
california hospice foundation,lecture program,2004,0
california hospice foundation,lecture program,2005,0
california hospice foundation,lecture program,2006,0
california hospice foundation,lecture program,2007,0
california hospice foundation,lecture program,2008,0
california hospice foundation,lecture program,2009,0
california hospice foundation,lecture program,2010,0
california hospice foundation,lecture program,2011,0
california hospice foundation,lecture program,2012,0
california hospice foundation,lecture program,2013,0
california hospice foundation,lecture program,2014,0
california hospice foundation,lecture program,2015,0
california hospice foundation,medical ed,2002,6000
california hospice foundation,medical ed,2003,10000
california hospice foundation,medical ed,2004,5000
california hospice foundation,medical ed,2005,6250
california hospice foundation,medical ed,2006,0
california hospice foundation,medical ed,2007,0
california hospice foundation,medical ed,2008,0
california hospice foundation,medical ed,2009,0
california hospice foundation,medical ed,2010,0
california hospice foundation,medical ed,2011,0
california hospice foundation,medical ed,2012,0
california hospice foundation,medical ed,2013,0
california hospice foundation,medical ed,2014,0
california hospice foundation,medical ed,2015,0
california medical association,analgesic,2002,0
california medical association,analgesic,2003,20000
california medical association,analgesic,2004,0
california medical association,analgesic,2005,0
california medical association,analgesic,2006,0
california medical association,analgesic,2007,0
california medical association,analgesic,2008,0
california medical association,analgesic,2009,0
california medical association,analgesic,2010,0
california medical association,analgesic,2011,0
california medical association,analgesic,2012,0
california medical association,analgesic,2013,0
california medical association,analgesic,2014,0
california medical association,analgesic,2015,0
california medical association,dom oth inc_exp,2002,0
california medical association,dom oth inc_exp,2003,0
california medical association,dom oth inc_exp,2004,0
california medical association,dom oth inc_exp,2005,0
california medical association,dom oth inc_exp,2006,0
california medical association,dom oth inc_exp,2007,10000
california medical association,dom oth inc_exp,2008,0
california medical association,dom oth inc_exp,2009,0
california medical association,dom oth inc_exp,2010,0
california medical association,dom oth inc_exp,2011,0
california medical association,dom oth inc_exp,2012,0
california medical association,dom oth inc_exp,2013,0
california medical association,dom oth inc_exp,2014,0
california medical association,dom oth inc_exp,2015,0
california medical association,health policy,2002,0
california medical association,health policy,2003,0
california medical association,health policy,2004,0
california medical association,health policy,2005,0
california medical association,health policy,2006,0
california medical association,health policy,2007,0
california medical association,health policy,2008,0
california medical association,health policy,2009,0
california medical association,health policy,2010,0
california medical association,health policy,2011,0
california medical association,health policy,2012,0
california medical association,health policy,2013,0
california medical association,health policy,2014,2500
california medical association,health policy,2015,0
california medical association,medical ed,2002,10000
california medical association,medical ed,2003,0
california medical association,medical ed,2004,30000
california medical association,medical ed,2005,0
california medical association,medical ed,2006,0
california medical association,medical ed,2007,0
california medical association,medical ed,2008,0
california medical association,medical ed,2009,0
california medical association,medical ed,2010,0
california medical association,medical ed,2011,0
california medical association,medical ed,2012,0
california medical association,medical ed,2013,0
california medical association,medical ed,2014,0
california medical association,medical ed,2015,0
california medical association,other,2002,0
california medical association,other,2003,0
california medical association,other,2004,10000
california medical association,other,2005,0
california medical association,other,2006,0
california medical association,other,2007,0
california medical association,other,2008,0
california medical association,other,2009,0
california medical association,other,2010,0
california medical association,other,2011,0
california medical association,other,2012,0
california medical association,other,2013,0
california medical association,other,2014,0
california medical association,other,2015,0
california narcotic officers assoc,corp.security,2002,0
california narcotic officers assoc,corp.security,2003,0
california narcotic officers assoc,corp.security,2004,0
california narcotic officers assoc,corp.security,2005,0
california narcotic officers assoc,corp.security,2006,0
california narcotic officers assoc,corp.security,2007,0
california narcotic officers assoc,corp.security,2008,0
california narcotic officers assoc,corp.security,2009,0
california narcotic officers assoc,corp.security,2010,0
california narcotic officers assoc,corp.security,2011,5000
california narcotic officers assoc,corp.security,2012,0
california narcotic officers assoc,corp.security,2013,0
california narcotic officers assoc,corp.security,2014,0
california narcotic officers assoc,corp.security,2015,0
california narcotic officers assoc,lele,2002,0
california narcotic officers assoc,lele,2003,800
california narcotic officers assoc,lele,2004,0
california narcotic officers assoc,lele,2005,2500
california narcotic officers assoc,lele,2006,15000
california narcotic officers assoc,lele,2007,0
california narcotic officers assoc,lele,2008,15000
california narcotic officers assoc,lele,2009,5000
california narcotic officers assoc,lele,2010,0
california narcotic officers assoc,lele,2011,0
california narcotic officers assoc,lele,2012,0
california narcotic officers assoc,lele,2013,0
california narcotic officers assoc,lele,2014,0
california narcotic officers assoc,lele,2015,0
california pharmacists assoc educational foundation,analgesic,2002,0
california pharmacists assoc educational foundation,analgesic,2003,0
california pharmacists assoc educational foundation,analgesic,2004,0
california pharmacists assoc educational foundation,analgesic,2005,0
california pharmacists assoc educational foundation,analgesic,2006,0
california pharmacists assoc educational foundation,analgesic,2007,0
california pharmacists assoc educational foundation,analgesic,2008,0
california pharmacists assoc educational foundation,analgesic,2009,0
california pharmacists assoc educational foundation,analgesic,2010,0
california pharmacists assoc educational foundation,analgesic,2011,5000
